"id","a","b"
"caraco","cerca"
"carai","cerai sarak"
"caramah","ceramah"
"cari","cari"
"carito","cerita drama kisah"
"carno","cerna"
"caro","cara metode"
"caroboh","ceroboh"
"carucuih","selonong"
"caruik","carut"
"cas","cas"
"cataik","catat"
"catua","catur"
"catuih","cetus"
"catuik","catut"
"cawan","cawan"
"cecak","cecak"
"cegak","pulih sembuh"
"ceke","bakhil kikir pelit"
"celup","celup"
"cemo","cemar"
"cerek","ketel"
"cetak","cetak"
"cetakan","acuan"
"cibia","cibir"
"cicik","cicit"
"ciek","satu"
"ciinan","kepingin"
"cilako","celaka"
"cilok","curi"
"cimburu","cemburu"
"cimooh","cemeeh"
"cimpago","cempaka"
"cincin","cincin"
"cindua","cendol"
"cinduamato","cendramata"
"cingkahak","bajingan bedebah berandal"
"cingkariak","cengkerik jangkrik"
"cingkunek","pelatuk"
"cino","cina"
"cinto","cinta"
"ciok","ciap"
"cipeh","bijak"
"cipto","cipta"
"cirik","berak tahi"
"ciroboang","cerobong"
"ciroboh","gegabah"
"cito-cito","cita-cita"
"ciut","ciut"
"codang","cuat"
"coga","naik daun"
"coklat","cokelat"
"condoang","cenderung condong"
"condokio","cendikia"
"conto","contoh"
"cor","cor"
"coreang","coreng"
"coret","coret"
"cotok","paruh patuk"
"cuaco","cuaca"
"cubadak","cempedak nangka"
"cubik","cubit"
"cubo","coba"
"cucu","cucu"
"cucua","cucur"
"cucuak","coblos"
"cucuan","cucuran"
"cukai","cukai"
"cukia","cungkil korek"
"cuko","cuka"
"cukua","cukur"
"cukuik","cukup"
"cumaro","cemara"
"cupak","cupak"
"cupiang","cuping"
"curah","curah"
"curam","curam"
"curang","curang"
"curiga","curiga"
"cuti","cuti"
"da","kak"
"daawa","dakwa"
"dabiah","bantai sembelih"
"dabua","debur"
"dadak","sekam"
"dadar","dadar"
"dado","dada"
"dadu","dadu"
"daerah","daerah"
"daftar","daftar"
"dagiang","daging"
"daguak","dagu"
"dahak","dahak"
"dahan","dahan"
"dakaik","dekat"
"dakek","dekat"
"dalam","dalam"
"dalimo","delima"
"dama","colok damar"
"damai","damai"
"damam","demam"
"damang","demang"
"dambin","lamban lembam"
"dampa","dampar"
"dampiang","damping"
"danau","danau"
"dandam","dendam"
